Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating;Day;Month;Year
750-67-8428;A;Yangon;Member;Female;Health and beauty;74.69;7;261.415;5.489.715;05/01/2019;13.08;Ewallet;522.83;4.761.904.762;261.415;09.01;5;1;2019
226-31-3081;C;Naypyitaw;Normal;Female;Electronic accessories;15.28;5;0,181944444;80.22.00;08/03/2019;10.29;Cash;76.04.00;4.761.904.762;0,181944444;09.06;8;3;2019
631-41-3108;A;Yangon;Normal;Male;Home and lifestyle;46.33.00;7;162.155;3.405.255;03/03/2019;13.23;Credit card;324.31.00;4.761.904.762;162.155;07.04;3;3;2019
123-19-1176;A;Yangon;Member;Male;Health and beauty;58.22.00;8;23.288;489.048;27/01/2019;20.33;Ewallet;465.76;4.761.904.762;23.288;08.04;27;1;2019
373-73-7910;A;Yangon;Normal;Male;Sports and travel;86.31.00;7;302.085;6.343.785;08/02/2019;10.37;Ewallet;604.17.00;4.761.904.762;302.085;05.03;8;2;2019
699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories;85.39.00;7;298.865;6.276.165;25/03/2019;18.30;Ewallet;597.73;4.761.904.762;298.865;04.01;25;3;2019
355-53-5943;A;Yangon;Member;Female;Electronic accessories;68.84;6;20.652;433.692;25/02/2019;14.36;Ewallet;413.04.00;4.761.904.762;20.652;05.08;25;2;2019
315-22-5665;C;Naypyitaw;Normal;Female;Home and lifestyle;73.56.00;10;36.78;772.38.00;24/02/2019;11.38;Ewallet;735.06.00;4.761.904.762;36.78;08.00;24;2;2019
665-32-9167;A;Yangon;Member;Female;Health and beauty;36.26.00;2;3.626;76.146;10/01/2019;17.15;Credit card;72.52.00;4.761.904.762;3.626;07.02;10;1;2019
692-92-5582;B;Mandalay;Member;Female;Food and beverages;54.84;3;8.226;172.746;20/02/2019;13.27;Credit card;164.52.00;4.761.904.762;8.226;05.09;20;2;2019
351-62-0822;B;Mandalay;Member;Female;Fashion accessories;14.48;4;2.896;60.816;06/02/2019;18.07;Ewallet;57.92;4.761.904.762;2.896;04.05;6;2;2019
529-56-3974;B;Mandalay;Member;Male;Electronic accessories;25.51.00;4;5.102;107.142;09/03/2019;17.03;Cash;102.04.00;4.761.904.762;5.102;06.08;9;3;2019
365-64-0515;A;Yangon;Normal;Female;Electronic accessories;46.95;5;117.375;2.464.875;12/02/2019;10.25;Ewallet;234.75;4.761.904.762;117.375;07.01;12;2;2019
252-56-2699;A;Yangon;Normal;Male;Food and beverages;43.19.00;10;21.595;453.495;07/02/2019;16.48;Ewallet;431.09.00;4.761.904.762;21.595;08.02;7;2;2019
829-34-3910;A;Yangon;Normal;Female;Health and beauty;71.38.00;10;35.69;749.49.00;29/03/2019;19.21;Cash;713.08.00;4.761.904.762;35.69;05.07;29;3;2019
299-46-1805;B;Mandalay;Member;Female;Sports and travel;93.72;6;28.116;590.436;15/01/2019;16.19;Cash;562.32.00;4.761.904.762;28.116;04.05;15;1;2019
656-95-9349;A;Yangon;Member;Female;Health and beauty;68.93;7;241.255;5.066.355;11/03/2019;11.03;Credit card;482.51.00;4.761.904.762;241.255;04.06;11;3;2019
765-26-6951;A;Yangon;Normal;Male;Sports and travel;72.61;6;21.783;457.443;01/01/2019;10.39;Credit card;435.66;4.761.904.762;21.783;06.09;1;1;2019
